SAMPLE	AIM2	CASP1	CCL2	CCL20	CCL27	CCL5	CCL5I	CTLA4	CXCL1	CXCL10	CXCL2	DEFB1	EOMES	FOXP3	IFIH1	IFNAR1	IFNG	IFNGR	IL10	IL17A	IL17F	IL1b	IL1F6	IL1RN	IL20RA	IL22	IL22RA1	IL22RA2	IL26	IL8b	KLRK1	LCN2	MICB	NLRP1	NLRP3	PI3	PYCARD	REG3A	S100A8	S100A9	TNF	TRGC1	WIPI1
21	VT006	  1.853604	21.640572	 4.657859	0.005494988	178.56832	 7.058359	NA	11.681606	0.0006937324	  0.8445960	0.0058325113	31.31971	2.1475125	22.331362	 7.399925	0.9253041	  0.8445960	0.7300357	0.38408493927775134	#DIV/0!	#DIV/0!	0.03633910	 53.68076	 52.73416	10.451708	#DIV/0!	15.064964	19.964803	0.24026706258015701	1.6717734850872393E-4	 18.59272	0.0030858268	0.07176046	 7.087773	0.7981527	0.11444024	 34.36019	301.67121947386141	 2.6414556	 1.09277769	 8.386099	 46.845298	16.884961
22	VT007	 11.195392	23.995083	10.651611	0.015187209	 93.63652	24.629803	NA	36.010204	0.0004241412	 48.8402831	0.0095210254	28.82002	6.7724010	22.346852	15.711789	1.1070082	 48.8402831	0.8338108	0.68309785123085076	#DIV/0!	#DIV/0!	0.06228376	 51.73253	 47.07860	10.882961	0.93785071255616337	20.799191	19.681056	#DIV/0!	2.2698816547224239E-3	 46.39829	0.0080290390	0.21185757	 8.481577	1.9951447	0.14592851	 42.04901	607.81949927787605	 8.4815803	 6.16029530	25.646078	105.687838	33.949847
23	VT009	  3.958624	27.448711	11.881680	0.042945958	212.30569	 3.666320	NA	16.221477	0.0005906810	  3.4914647	0.0016940200	39.78996	0.8171468	18.627128	16.903380	1.4828092	  3.4914647	1.0572184	0.32417245720289639	#DIV/0!	#DIV/0!	0.16013203	 49.38496	 63.04597	18.302895	#DIV/0!	21.451044	23.304180	0.18407655860047956	2.1056760401999657E-3	 13.94168	0.0032828487	0.11520965	16.598717	0.2760566	0.33875947	 39.23311	566.13315142757131	 1.9561271	 1.18673632	16.167227	 25.109578	21.962948
24	VT010	  3.533258	22.110599	11.604940	0.002808793	197.81381	 4.950816	NA	 7.508368	0.0013460997	 12.5417439	0.0165063559	38.67509	1.2996896	 7.537920	14.083019	1.4024998	 12.5417439	1.2421363	0.81103383905517867	#DIV/0!	#DIV/0!	0.05740551	 27.18365	 53.15008	 9.869660	#DIV/0!	22.337956	16.901717	3.7559432727606183	#DIV/0!	 33.98908	0.0002439276	0.09802766	14.486792	0.7444981	0.15589718	 17.77363	14407.171825544821	 0.1280252	 0.08676953	16.575727	 48.603862	17.663102
25	VT011	  4.191113	28.680547	11.029800	0.123364645	107.11378	10.524407	NA	21.688136	0.0031451272	 21.1170015	0.0164302762	17.56949	3.4168523	17.448128	 9.107241	0.7431203	 21.1170015	0.6344254	0.61978232881314055	0.021807	0.22821076432124479	0.17309885	 65.14881	 38.09862	 5.064200	#DIV/0!	14.256123	 9.814831	0.3415738056124511	2.7955243372440549E-3	 41.84550	0.0224483894	0.04798302	11.599577	2.8076684	0.21543640	 35.35888	77.430745798322221	13.1136822	 6.99020327	15.765146	 79.231375	14.791204
26	VT012	  5.104137	37.695843	28.946846	0.017836804	188.53221	12.924176	NA	15.972306	0.0024449166	  1.0910125	0.0066496811	60.03229	2.8732176	28.920089	15.181520	1.4243796	  1.0910125	1.1774948	0.15327184972292004	#DIV/0!	#DIV/0!	0.20457007	 82.53882	 69.92165	18.878430	0.68139221938076211	21.546352	51.005286	0.421556296269543	1.70363722618622E-3	 47.54870	0.0035179411	0.11918995	19.991764	3.1832016	0.28843807	 43.72342	52.850043949143682	 1.9765723	 1.43793765	37.739409	101.031845	32.103698
27	VT013	  4.350456	29.473232	11.395037	0.051808511	 94.07023	 7.561472	NA	29.117887	0.0005337063	 14.5942966	0.0056730223	39.89122	2.2470002	23.601936	12.667067	1.6032514	 14.5942966	1.1569920	0.30166082784765613	#DIV/0!	#DIV/0!	0.35915204	 45.97146	 54.70747	15.670721	#DIV/0!	16.265402	29.046476	0.18552629177322674	2.1220387776814805E-3	 26.68579	0.0100949196	0.10001814	13.727525	0.1323226	0.11716932	 21.83645	548.81115783888526	 1.6962324	 1.16312012	20.956600	 63.837511	16.495497
28	VT014	 10.150645	27.183636	10.413149	0.030578618	133.83701	35.506206	NA	81.205232	0.0032357895	225.6066923	0.0139428276	23.23669	8.2420329	43.111474	22.650961	0.9094086	225.6066923	0.8264699	1.6119786106994702	#DIV/0!	#DIV/0!	0.12299456	 46.34472	 26.59347	 9.185342	#DIV/0!	 2.057537	51.598774	2.0522847072656272	9.4493261481689531E-4	195.99408	0.0029646117	0.14282627	10.553621	1.0163316	0.08863375	 30.47034	1873.0398923507412	 1.4054189	 0.36984693	33.090224	223.789640	21.851604
29	VT015	  6.763796	22.784812	12.996042	0.019183381	102.22937	 5.606107	NA	31.049548	0.0006166905	  4.9611197	0.0103301110	22.41925	1.1285741	17.371695	12.953370	1.0083525	  4.9611197	0.6568742	#DIV/0!	0.02774	#DIV/0!	0.46105168	 65.16385	 37.44410	 8.333946	#DIV/0!	18.706809	14.959584	3.1670499295259904	2.2009343223011418E-3	 40.50421	0.0307636525	0.08972579	 9.657612	0.2640662	0.63904958	 24.49927	465.56324030292575	38.0370480	17.29959989	14.333640	 24.352528	11.944996
30	VT016	  2.474836	22.747991	11.318942	0.038194259	 86.62228	 2.165449	NA	 4.016203	0.0009911108	  0.7415758	0.0108324252	27.86404	1.3970011	10.575596	 9.660717	0.8006996	  0.7415758	0.7864262	#DIV/0!	#DIV/0!	#DIV/0!	0.13218831	 58.41769	 44.62147	 8.025921	#DIV/0!	13.533914	17.252803	0.10352608325196441	1.2565558553850145E-5	 10.66392	0.0125859844	0.06091746	10.144784	0.7930733	0.18492347	 41.15512	364.13598879994828	 5.2988037	 2.65369144	22.424437	  8.299355	20.186718
31	VT017	 11.107793	 9.109261	12.960068	0.103892713	177.78633	 3.881641	NA	33.278098	0.0001556399	  7.6918660	0.0027739691	22.96451	2.5004147	19.409195	 7.725828	1.3164632	  7.6918660	0.8220888	#DIV/0!	0.059621	#DIV/0!	0.07693765	 82.97859	 59.86609	 4.951964	#DIV/0!	26.569930	14.700886	1.0260563795703315	3.4039562964972088E-4	 23.61012	0.0020635696	0.17773912	12.849739	4.6536843	0.08670956	 21.42170	430.68802701033223	 0.7982988	 1.20330346	27.227649	 50.920228	13.618556
32	VT018	 24.380667	20.520580	 4.994478	0.056654445	182.82668	 2.786266	NA	 5.618422	0.0007484364	  5.7623861	0.0081800958	44.76604	1.1994180	14.722997	25.020405	1.3506619	  5.7623861	1.2006280	#DIV/0!	#DIV/0!	#DIV/0!	0.04677881	 64.53453	 72.95826	10.671316	#DIV/0!	21.597876	42.277770	0.23482138858924342	5.4696541223682891E-3	 14.34192	0.0015175656	0.04371683	12.630436	0.9483619	0.06203960	 67.38394	3558.7802660179691	 0.7587339	 0.29902407	14.446678	 32.589437	14.870005
